aluno;disc;turma;av;dt;nota;falta
101;D1;T1;AV1;10/02/2024;8,5;0
101;D1;T1;AV2;15/03/2024;7,0;0
101;D1;T1;AV3;20/04/2024;9,0;0
101;D2;T1;AV1;12/02/2024;7,5;1
101;D2;T1;AV2;18/03/2024;8,0;0
101;D2;T1;AV3;22/04/2024;8,5;0
101;D3;T1;AV1;14/02/2024;9,0;0
101;D3;T1;AV2;20/03/2024;8,5;0
101;D3;T1;AV3;25/04/2024;9,5;0
102;D1;T2;AV1;10/02/2024;7,0;0
102;D1;T2;AV2;15/03/2024;6,5;2
102;D1;T2;AV3;20/04/2024;8,0;0
102;D2;T2;AV1;12/02/2024;8,0;0
102;D2;T2;AV2;18/03/2024;7,5;0
102;D2;T2;AV3;22/04/2024;6,0;1
102;D4;T2;AV1;16/02/2024;9,0;0
102;D4;T2;AV2;22/03/2024;8,5;0
102;D4;T2;AV3;27/04/2024;9,0;0
103;D1;T1;AV1;10/02/2024;6,0;1
103;D1;T1;AV2;15/03/2024;5,5;2
103;D1;T1;AV3;20/04/2024;7,0;0
103;D3;T1;AV1;14/02/2024;7,5;0
103;D3;T1;AV2;20/03/2024;8,0;0
103;D3;T1;AV3;25/04/2024;6,5;1
103;D5;T1;AV1;18/02/2024;8,0;0
103;D5;T1;AV2;24/03/2024;7,5;0
103;D5;T1;AV3;29/04/2024;8,0;0
104;D1;T2;AV1;10/02/2024;9,5;0
104;D1;T2;AV2;15/03/2024;9,0;0
104;D1;T2;AV3;20/04/2024;8,5;0
104;D2;T2;AV1;12/02/2024;8,5;0
104;D2;T2;AV2;18/03/2024;9,0;0
104;D2;T2;AV3;22/04/2024;8,0;0
104;D4;T2;AV1;16/02/2024;7,5;1
104;D4;T2;AV2;22/03/2024;8,0;0
104;D4;T2;AV3;27/04/2024;8,5;0
105;D1;T3;AV1;11/02/2024;5,5;2
105;D1;T3;AV2;16/03/2024;6,0;1
105;D1;T3;AV3;21/04/2024;4,5;3
105;D2;T3;AV1;13/02/2024;6,5;1
105;D2;T3;AV2;19/03/2024;7,0;0
105;D2;T3;AV3;23/04/2024;5,0;2
105;D5;T3;AV1;19/02/2024;7,5;0
105;D5;T3;AV2;25/03/2024;6,5;1
105;D5;T3;AV3;30/04/2024;7,0;0
106;D1;T4;AV1;10/02/2024;8,0;0
106;D1;T4;AV2;15/03/2024;7,5;0
106;D1;T4;AV3;20/04/2024;9,0;0
106;D6;T4;AV1;12/02/2024;7,5;1
106;D6;T4;AV2;18/03/2024;8,0;0
106;D6;T4;AV3;22/04/2024;8,5;0
106;D7;T4;AV1;14/02/2024;8,5;0
106;D7;T4;AV2;20/03/2024;9,0;0
106;D7;T4;AV3;25/04/2024;9,5;0
107;D1;T2;AV1;10/02/2024;7,0;1
107;D1;T2;AV2;15/03/2024;6,5;0
107;D1;T2;AV3;20/04/2024;8,0;0
107;D2;T2;AV1;12/02/2024;7,5;0
107;D2;T2;AV2;18/03/2024;8,0;0
107;D2;T2;AV3;22/04/2024;7,0;1
107;D3;T2;AV1;16/02/2024;8,5;0
107;D3;T2;AV2;22/03/2024;9,0;0
107;D3;T2;AV3;27/04/2024;8,5;0
108;D1;T4;AV1;10/02/2024;9,0;0
108;D1;T4;AV2;15/03/2024;8,5;0
