ID_Pedido;Data_Pedido;Data_Entrega_Prevista;Data_Entrega_Real;Status_Final;Diferenca_Dias;Motivo_Atraso;ID_Transportadora
3001;01/04/2024;04/04/2024;03/04/2024;Entregue;-1;;101
3002;01/04/2024;06/04/2024;06/04/2024;Entregue;0;;102
3003;02/04/2024;06/04/2024;06/04/2024;Entregue;0;;103
3004;02/04/2024;05/04/2024;05/04/2024;Entregue;0;;101
3005;03/04/2024;10/04/2024;10/04/2024;Entregue;0;;104
3006;03/04/2024;09/04/2024;09/04/2024;Entregue;0;;105
3007;04/04/2024;09/04/2024;08/04/2024;Entregue;-1;;102
3008;04/04/2024;08/04/2024;08/04/2024;Entregue;0;;106
3009;05/04/2024;09/04/2024;09/04/2024;Entregue;0;;103
3010;05/04/2024;10/04/2024;12/04/2024;Entregue;2;Problema na coleta;107
3011;06/04/2024;14/04/2024;15/04/2024;Entregue;1;Trânsito;108
3012;06/04/2024;16/04/2024;18/04/2024;Entregue;2;Greve de caminhoneiros;104
3013;07/04/2024;12/04/2024;12/04/2024;Entregue;0;;105
3014;07/04/2024;10/04/2024;10/04/2024;Entregue;0;;101
3015;08/04/2024;13/04/2024;14/04/2024;Entregue;1;Endereço incorreto;102
3016;08/04/2024;12/04/2024;12/04/2024;Entregue;0;;106
3017;09/04/2024;13/04/2024;12/04/2024;Entregue;-1;;103
3018;09/04/2024;12/04/2024;12/04/2024;Entregue;0;;101
3019;10/04/2024;17/04/2024;19/04/2024;Entregue;2;Romaneio errado;104
3020;10/04/2024;16/04/2024;16/04/2024;Entregue;0;;107
3021;11/04/2024;16/04/2024;15/04/2024;Entregue;-1;;102
3022;11/04/2024;16/04/2024;18/04/2024;Entregue;2;Cliente ausente;105
3023;12/04/2024;15/04/2024;15/04/2024;Entregue;0;;101
3024;12/04/2024;16/04/2024;17/04/2024;Entregue;1;Chuva;103
3025;13/04/2024;21/04/2024;24/04/2024;Entregue;3;Problema mecânico;108
3026;13/04/2024;23/04/2024;;Em trânsito;;;104
3027;14/04/2024;19/04/2024;;Em separação;;;106
3028;14/04/2024;19/04/2024;19/04/2024;Entregue;0;;102
3029;15/04/2024;18/04/2024;18/04/2024;Entregue;0;;101
3030;15/04/2024;20/04/2024;;Despachado;;;107
