ID_Pedido;ID_Cliente;Data_Pedido;Valor_Pedido;Peso_kg;ID_Transportadora;Prazo_Entrega_Dias;Prioridade;ID_Rastreio
3001;201;01/04/2024;1250.00;5.5;101;3;Alta;R001
3002;202;01/04/2024;89.90;0.8;102;5;Baixa;R002
3003;203;02/04/2024;3450.00;25.0;103;4;Alta;R003
3004;204;02/04/2024;150.00;2.0;101;3;Média;R004
3005;205;03/04/2024;890.00;3.2;104;7;Média;R005
3006;206;03/04/2024;230.00;1.5;105;6;Baixa;R006
3007;207;04/04/2024;1780.00;8.0;102;5;Alta;R007
3008;208;04/04/2024;65.00;0.3;106;4;Baixa;R008
3009;209;05/04/2024;2340.00;12.0;103;4;Alta;R009
3010;210;05/04/2024;430.00;2.8;107;5;Média;R010
3011;211;06/04/2024;520.00;3.0;108;8;Média;R011
3012;212;06/04/2024;3120.00;45.0;104;10;Alta;R012
3013;213;07/04/2024;185.00;1.2;105;5;Baixa;R013
3014;214;07/04/2024;670.00;4.5;101;3;Média;R014
3015;201;08/04/2024;890.00;3.8;102;5;Média;R015
3016;202;08/04/2024;45.00;0.2;106;4;Baixa;R016
3017;203;09/04/2024;2120.00;18.0;103;4;Alta;R017
3018;204;09/04/2024;320.00;2.5;101;3;Média;R018
3019;205;10/04/2024;560.00;2.0;104;7;Média;R019
3020;206;10/04/2024;130.00;1.0;107;6;Baixa;R020
3021;207;11/04/2024;2450.00;15.0;102;5;Alta;R021
3022;208;11/04/2024;89.00;0.5;105;5;Baixa;R022
3023;209;12/04/2024;1780.00;9.0;101;3;Média;R023
3024;210;12/04/2024;340.00;1.8;103;4;Média;R024
3025;211;13/04/2024;670.00;4.2;108;8;Média;R025
3026;212;13/04/2024;4350.00;52.0;104;10;Alta;R026
3027;213;14/04/2024;210.00;1.5;106;5;Baixa;R027
3028;214;14/04/2024;890.00;5.0;102;5;Média;R028
3029;201;15/04/2024;1560.00;7.0;101;3;Alta;R029
3030;202;15/04/2024;78.00;0.4;107;5;Baixa;R030
