ID_Lead;Data_Evento;Etapa_Funil;ID_Campanha;ID_Equipe;Data_Lead;Data_Conversao;Valor_Lead
1001;05/01/2024;Visitante;1;1;05/01/2024;;0
1001;06/01/2024;Lead;1;1;05/01/2024;;0
1001;10/01/2024;MQL;1;1;05/01/2024;;0
1002;07/01/2024;Visitante;2;2;07/01/2024;;0
1002;08/01/2024;Lead;2;2;07/01/2024;;0
1002;15/01/2024;MQL;2;2;07/01/2024;;0
1002;22/01/2024;SQL;2;2;07/01/2024;;0
1002;30/01/2024;Cliente;2;2;07/01/2024;30/01/2024;1500
1003;10/01/2024;Visitante;4;3;10/01/2024;;0
1003;12/01/2024;Lead;4;3;10/01/2024;;0
1003;20/01/2024;MQL;4;3;10/01/2024;;0
1004;12/01/2024;Visitante;1;1;12/01/2024;;0
1004;13/01/2024;Lead;1;1;12/01/2024;;0
1005;15/01/2024;Visitante;3;1;15/01/2024;;0
1005;16/01/2024;Lead;3;1;15/01/2024;;0
1005;25/01/2024;MQL;3;1;15/01/2024;;0
1005;10/02/2024;SQL;3;1;15/01/2024;;0
1006;18/01/2024;Visitante;5;3;18/01/2024;;0
1006;20/01/2024;Lead;5;3;18/01/2024;;0
1007;20/01/2024;Visitante;2;2;20/01/2024;;0
1007;22/01/2024;Lead;2;2;20/01/2024;;0
1008;22/01/2024;Visitante;4;3;22/01/2024;;0
1008;24/01/2024;Lead;4;3;22/01/2024;;0
1009;25/01/2024;Visitante;6;1;25/01/2024;;0
1009;27/01/2024;Lead;6;1;25/01/2024;;0
1010;28/01/2024;Visitante;7;2;28/01/2024;;0
1010;30/01/2024;Lead;7;2;28/01/2024;;0
1011;01/02/2024;Visitante;8;3;01/02/2024;;0
1011;03/02/2024;Lead;8;3;01/02/2024;;0
1012;03/02/2024;Visitante;1;1;03/02/2024;;0
1012;05/02/2024;Lead;1;1;03/02/2024;;0
1013;05/02/2024;Visitante;3;1;05/02/2024;;0
1013;07/02/2024;Lead;3;1;05/02/2024;;0
1014;08/02/2024;Visitante;9;2;08/02/2024;;0
1014;10/02/2024;Lead;9;2;08/02/2024;;0
1015;10/02/2024;Visitante;2;2;10/02/2024;;0
1015;12/02/2024;Lead;2;2;10/02/2024;;0
1015;25/02/2024;MQL;2;2;10/02/2024;;0
1016;12/02/2024;Visitante;5;3;12/02/2024;;0
1016;14/02/2024;Lead;5;3;12/02/2024;;0
1016;05/03/2024;MQL;5;3;12/02/2024;;0
1016;20/03/2024;SQL;5;3;12/02/2024;;0
1016;05/04/2024;Cliente;5;3;12/02/2024;05/04/2024;3200
1017;15/02/2024;Visitante;4;3;15/02/2024;;0
1017;17/02/2024;Lead;4;3;15/02/2024;;0
1018;18/02/2024;Visitante;6;1;18/02/2024;;0
1018;20/02/2024;Lead;6;1;18/02/2024;;0
1019;20/02/2024;Visitante;10;1;20/02/2024;;0
1019;22/02/2024;Lead;10;1;20/02/2024;;0
1019;10/03/2024;MQL;10;1;20/02/2024;;0
1019;25/03/2024;SQL;10;1;20/02/2024;;0
1020;22/02/2024;Visitante;1;1;22/02/2024;;0
1020;24/02/2024;Lead;1;1;22/02/2024;;0
1020;15/03/2024;MQL;1;1;22/02/2024;;0
1021;25/02/2024;Visitante;7;2;25/02/2024;;0
1021;27/02/2024;Lead;7;2;25/02/2024;;0
1022;27/02/2024;Visitante;8;3;27/02/2024;;0
1022;29/02/2024;Lead;8;3;27/02/2024;;0
1023;01/03/2024;Visitante;2;2;01/03/2024;;0
1023;03/03/2024;Lead;2;2;01/03/2024;;0
1023;20/03/2024;MQL;2;2;01/03/2024;;0
1024;03/03/2024;Visitante;3;1;03/03/2024;;0
1024;05/03/2024;Lead;3;1;03/03/2024;;0
1025;05/03/2024;Visitante;9;2;05/03/2024;;0
1025;07/03/2024;Lead;9;2;05/03/2024;;0
1026;08/03/2024;Visitante;4;3;08/03/2024;;0
1026;10/03/2024;Lead;4;3;08/03/2024;;0
1027;10/03/2024;Visitante;5;3;10/03/2024;;0
1027;12/03/2024;Lead;5;3;10/03/2024;;0
1028;12/03/2024;Visitante;1;1;12/03/2024;;0
1028;14/03/2024;Lead;1;1;12/03/2024;;0
1029;15/03/2024;Visitante;6;1;15/03/2024;;0
1029;17/03/2024;Lead;6;1;15/03/2024;;0
1030;18/03/2024;Visitante;10;1;18/03/2024;;0
1030;20/03/2024;Lead;10;1;18/03/2024;;0
