ID_Registro;ID_Colaborador;Data_Alteracao;Salario_Base;ID_Cargo;ID_Departamento;Motivo_Alteracao
1;101;10/01/2022;4500.00;1;101;Contratação
2;101;01/07/2022;4800.00;1;101;Mérito
3;101;01/01/2023;5200.00;1;101;Dissídio
4;102;15/03/2019;5800.00;2;102;Contratação
5;102;01/01/2020;6200.00;2;102;Dissídio
6;102;01/06/2021;6800.00;2;102;Promoção
7;103;01/06/2021;4200.00;3;101;Contratação
8;103;01/01/2022;4500.00;3;101;Dissídio
9;104;20/09/2018;5000.00;2;102;Contratação
10;104;01/07/2019;5300.00;2;102;Mérito
11;105;05/03/2023;3200.00;4;103;Contratação
12;106;12/07/2017;6000.00;1;101;Contratação
13;106;01/01/2019;6500.00;1;101;Dissídio
14;106;01/03/2020;7000.00;1;101;Promoção
15;107;18/02/2022;4100.00;3;102;Contratação
16;108;30/04/2020;7500.00;5;104;Contratação
17;108;01/01/2021;8200.00;5;104;Dissídio
18;109;22/09/2021;3800.00;2;101;Contratação
19;110;07/07/2022;3300.00;4;103;Contratação
20;111;25/11/2019;5900.00;1;102;Contratação
21;111;01/01/2021;6400.00;1;102;Dissídio
22;112;14/08/2018;4800.00;3;104;Contratação
23;113;02/12/2021;3600.00;2;101;Contratação
24;114;19/03/2020;7100.00;5;102;Contratação
25;114;01/07/2021;7800.00;5;102;Mérito
26;115;11/06/2022;3100.00;4;103;Contratação
